states,tags,notes,date,time
North Carolina,,NCknows is a service that allows North Carolina residents to get help from librarians and use their library resources remotely through a computer. NCknows is a pilot project supported by a grant under the Federally-funded Library Services and Technology Act (LSTA). The project is administered by the State Library of North Carolina in Raleigh with help from a committee of librarians and directors from North Carolina's libraries. ,11/12/15,13:22
North Carolina,"board of examiners,state board","North Carolina State Board of Examiners of Plumbing, Heating and Fire Sprinkler Contractors ",9/15/15,16:46
North Carolina,,North Carolina League of Municipalities ,6/6/13,18:08
North Carolina,,the board of Marriage and family therapy of North Carolina ,9/15/15,16:48
North Carolina,,The North Carolina Locksmith Licensing Board ,9/15/15,16:48
North Carolina,"north carolina office,state of north",State of North Carolina Office of Information Technology Services ,9/15/15,16:49
North Carolina,,North Carolina Maritime Museum System ,8/2/13,15:50
North Carolina,"nc department,department of cultural","North Carolina Highway Historical Marker Program, NC Department of Cultural Resources ",11/12/15,13:19
North Carolina,,The North Carolina Natural Heritage Program ,9/15/15,16:56
North Carolina,,"Established in 1987, the North Carolina Natural Heritage Trust Fund provided supplemental funding to select state agencies for the acquisition and protection of important natural areas, to preserve the state's ecological diversity and cultural heritage, and to inventory the natural heritage resources of the state. In July 2013, these key purposes were incorporated in the Clean Water Management Trust Fund enabling legislation and the NHTF statute was repealed. See historical snapshot at:  http://web.archive.org/web/20150129185256/http://www.ncnhtf.org/pages/aboutnhtf.htm  ",11/12/15,13:15
North Carolina,north carolina office,North Carolina Office of Administrative Hearings ,9/15/15,16:57
North Carolina,"board of examiners,state board",he North Carolina State Board of Examiners in Optometry ,9/15/15,16:58
,"department of public,nc department,public health","NC Physical Activity and Nutrition Branch (NC PAN), NC Department of Public Health See historical snapshot at: http://web.archive.org/web/20130128034822/http://www.ncpanbranch.com/  ",11/12/15,13:12
North Carolina,north carolina board,The North Carolina Board of Physical Therapy Examiners ,9/15/15,17:04
North Carolina,"north carolina office,department of cultural","Historical Publications, North Carolina Office of Archives and History, Department of Cultural Resources - www.ncpublications.com ",6/6/13,18:34
North Carolina,public health,North Carolina Division of Public Health ,7/26/13,15:09
,"department of health,nc department,health and human,human services","Radiation Protection Section, NC Department of Health and Human Services ",1/14/14,14:18
North Carolina,,the North Carolina Respiratory Care   ,9/15/15,17:13
North Carolina,,North Carolina Rural Electrification Authority ,9/15/15,17:14
,state board,NC State Board of Environmental Health Specialist Examiners ,11/19/13,20:40
North Carolina,,North Carolina Seniors' Health Insurance Information Program (SHIIP) ,1/22/14,19:19
North Carolina,"nc department,department of public,public health","North Carolina Sickle Cell Syndrome Program, NC Department of Public Health ",11/12/15,13:09
North Carolina,"department of public,north carolina department,carolina department",The North Carolina State Improvement Project (NC SIP ). NC SIP is a program in the Exceptional Children Division of the North Carolina Department of Public Instruction (NC DPI). ,9/15/15,17:19
North Carolina,,"Thank you for visiting ACCESSNC, your one-stop source for North Carolina economic data and site information. ",9/15/15,17:19
North Carolina,,North Carolina Social Work Certification and Licensure Board ,9/22/15,14:12
,"department of health,nc department,health and human,human services","Tobacco Free Schools, NC Department of Health and Human Services ",2/25/14,13:20
North Carolina,state of north,State of North Carolina Japan Office ,7/24/13,16:40
North Carolina,"north carolina department,carolina department",North Carolina Department of State Treasurer ,6/6/13,18:09
North Carolina,,North Carolina Veterinary Medical Board ,9/15/15,17:30
North Carolina,,North Carolina Division of Water Resources ,11/12/15,12:58
North Carolina,"health and human,department of health,public health,human services","North Carolina Well Contractors Certification Commission - protects the public health and safety by ensuring the integrity and competence of well contractors through examination, certification, continuing education and enforcement. The Well Contractors Certification Unit is now part of the Department of Health and Human Services. ",11/12/15,12:57
North Carolina,"north carolina department,carolina department",NC Zoo is an agency of the North Carolina Department of Natural and Cultural Resources ,11/12/15,12:48
North Dakota,"travel and tourism,tourism site",Travel and Tourism Site for North Dakota ,6/6/13,19:42
Nebraska,historical society,Nebraska State Historical Society ,12/9/13,18:24
Nebraska,economic development,Nebraska Department of Economic Development ,12/6/13,19:50
Nevada,department of transportation,Nevada Department of Transportation ,6/26/13,15:23
New Mexico,"tourism site,travel and tourism",Travel and Tourism Site for New Mexico ,6/6/13,19:42
Pennsylvania,economic development,Pennsylvania Department of Community & Economic Development ,6/6/13,18:08
,historical society,NH Historical Society ,9/2/15,19:01
New Jersey,"economic development authority,development authority,economic development",New Jersey Economic Development Authority ,9/16/15,15:52
New Mexico,,New Mexico Lottery ,6/12/13,14:20
New Mexico,public health,New Mexico Environmental Public Health Tracking ,10/24/14,12:11
New Mexico,,"Special Supplemental Nutrition Program for New Mexico Women, Infants & Children ",1/10/14,19:17
,"public health,health and human,human services","Nutrition Services Branch, Women's and Children's Health, NC Division of Public Health, NCDepartment of Health and Human Services  ",3/20/14,16:33
Nevada,"department of health,health and human,human services","Aging and Disability Services Division, Department of Health and Human Services, State of Nevada ",6/17/13,15:40
New York,"york state,new york state",New York State Conference of Mayors and Municipal Officials (NYCOM) ,7/2/15,10:49
New York,historical society,New York Historical Society Museum and Library ,7/2/15,10:50
New York,"york state,new york state",New York State Council on the Arts ,7/2/15,10:51
New York,"york state,new york state",New York State eGovernment listing of state agencies ,9/25/13,15:35
New York,"york state,new york state",New York State Fair ,6/12/13,18:48
